Sr. No,All India Merit,Choice Code,Institute Name,Course Name,Exam Type,Type,Seat Type,rank,percentile
177,19508 (5.4671238),5152,G H Raisoni College of  Engineering and,BCA,MAH-CET,AI,AI to AI,19508.0,5.4671238
178,19517 (5.4671238),2750,VASANT KALE COLLEGE OF COMPUTATIONAL AND,BCA,MAH-CET,AI,AI to AI,19517.0,5.4671238
179,19580 (5.4671238),16289,SINHGAD TECHNICAL EDUCATION SOCIETY'S,BCA,MAH-CET,AI,AI to AI,19580.0,5.4671238
180,19598 (5.0801272),16145,KARMAVEER BHAURAO PATIL MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,19598.0,5.0801272
181,19614 (5.0801272),16188,KAMALA COLLEGE KOLHAPUR,BCA,MAH-CET,AI,AI to AI,19614.0,5.0801272
182,19615 (5.0801272),16211,DESHBHAKTA RATNAPPA KUMBHAR COLLEGE OF,BCA,MAH-CET,AI,AI to AI,19615.0,5.0801272
183,19638 (4.8114690),2748,YUVAK PRATISHTHANS MIT COLLEGE OF COMPUTER,BCA,MAH-CET,AI,AI to AI,19638.0,4.811469
184,19639 (4.8114690),16237,RAJMATA JIJAU SHIKSHAN PRASARAK MANDALS ARTS,BCA,MAH-CET,AI,AI to AI,19639.0,4.811469
185,19644 (4.6893318),6158,Rajmata Jijau Shikshan Prasarak Mandal's Institute of,BCA,MAH-CET,AI,AI to AI,19644.0,4.6893318
186,19653 (4.6893318),5556,DADASAHEB DR.SURESH G.PATIL COLLEGE CHOPDA,BCA,MAH-CET,AI,AI to AI,19653.0,4.6893318
187,19666 (4.6893318),16208,P.JOG COLLEGE OF SCIENCE AND COMMERCE,BCA,MAH-CET,AI,AI to AI,19666.0,4.6893318
188,19684 (4.5515652),16198,RAYAT SHIKSHAN SANSTHAS LAXMIBAI BHAURAO,BCA,MAH-CET,AI,AI to AI,19684.0,4.5515652
189,19698 (4.4229022),4151,Tulsiramji Gaikwad Patil College of Engineering &,BCA,MAH-CET,AI,AI to AI,19698.0,4.4229022
