Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
131,19560 (36.496736),511724110,Pirens Institute Of Business Management And Administration (IBMA) Loni (BK),Master in Computer Application,AI-AI,AI,19560.0,36.496736
132,19586 (36.496736),620824110,"Deccan Education Society's Chintamanrao Institute of Management Development & Research, Sangli",Master in Computer Application,AI-AI,AI,19586.0,36.496736
133,19912 (34.5198145),1612224110,Pharate Patil Management Institutes,Master in Computer Application,AI-AI,AI,19912.0,34.5198145
134,20112 (34.5198145),0515324150F,"West Khandesh Bhagini Seva Mandal's Dr. Suryakanta R. Ajmera M.C.A. College for Women, Dhule",Master in Computer Application,AI-AI,AI,20112.0,34.5198145
135,21063 (29.9046039),415124110,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Master in Computer Application,AI-AI,AI,21063.0,29.9046039
136,21138 (29.9046039),0131424170U,SMT RADHADEVI GOENKA COLLEGE FOR WOMEN,Master in Computer Application,AI-AI,MI-AI,21138.0,29.9046039
137,21687 (27.2744425),413324110,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Master in Computer Application,AI-AI,AI,21687.0,27.2744425
138,21849 (25.4779232),510224110,"Godavari Institute of Management & Research, Jalgaon",Master in Computer Application,AI-AI,AI,21849.0,25.4779232
139,21970 (25.4779232),510124110,"Khandesh College Education Society's Institute of Management & Research, Jalgaon",Master in Computer Application,AI-AI,AI,21970.0,25.4779232
140,22022 (25.4779232),414524110,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Master in Computer Application,AI-AI,AI,22022.0,25.4779232
141,22122 (25.4779232),470124110,"Dr.S.C. Gulhane Prerna College of Management and Technology, Nagpur",Master in Computer Application,AI-AI,AI,22122.0,25.4779232
142,22239 (25.4779232),632124110,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Master in Computer Application,AI-AI,AI,22239.0,25.4779232
143,22504 (23.1010151),550924110,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Master in Computer Application,AI-AI,AI,22504.0,23.1010151
144,22769 (21.0059952),561924110,COMMERCE MANAGEMENT AND COMPUTER SCIENCE COLLEGE,Master in Computer Application,AI-AI,AI,22769.0,21.0059952
145,22835 (21.0059952),111324110,"Sadhana Shikshan Mandal, Saraswati College, Shegaon",Master in Computer Application,AI-AI,AI,22835.0,21.0059952
146,22922 (21.0059952),567424110,"Khandesh Education Society's Institute of Management and Technology, Amalner",Master in Computer Application,AI-AI,AI,22922.0,21.0059952
