Sr No,College,College Code,Course,Location,Category,Quota,AIR,cap_round,year
81,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,110,CAP-1,2025-26
82,Sir J.J. School,1107,Ceramics,Mumbai,SC,SC,112,CAP-1,2025-26
83,Govt. Col of Art & Design,2102,Applied Art,Nagpur,SBC,OPEN,114,CAP-1,2025-26
84,Sir J.J. School,1104,Int. Decoration,Mumbai,OPEN,OPEN,115,CAP-1,2025-26
85,Govt. Col of Art & Design,2101,Painting,Nagpur,SBC,OPEN(W),116,CAP-1,2025-26
86,Rachana Sansad,1302,Applied Art,Mumbai,SBC,OPEN(W),118,CAP-1,2025-26
87,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,119,CAP-1,2025-26
88,Sir J.J. School,1104,Int. Decoration,Mumbai,OBC,OPEN,124,CAP-1,2025-26
89,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OPEN,126,CAP-1,2025-26
90,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,127,CAP-1,2025-26
91,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OPEN(W),129,CAP-1,2025-26
92,Sir J.J. School,1104,Int. Decoration,Mumbai,OPEN,OPEN,131,CAP-1,2025-26
93,Bharati Vidyapeeth Col,1602,Applied Art,Pune,OBC,OPEN,132,CAP-1,2025-26
94,Sir J.J. School,1104,Int. Decoration,Mumbai,OBC,OBC,133,CAP-1,2025-26
95,Sir J.J. School,1103,Textile Design,Mumbai,OPEN,OPEN,134,CAP-1,2025-26
96,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,135,CAP-1,2025-26
