institute_code,institute_name,branch_code,branch,course_name,category,rank,score,gender,quota,category1,year,cap_round
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202005010,ME/M.Tech,Artificial Intelligence,GOBCS,5229,0.74,G,S,OBC,2025,3
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202019910,ME/M.Tech,Civil Engineering (Water Management),GOPENS,3097,8.26,G,S,OPEN,2025,3
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202021210,ME/M.Tech,Structural Engineering,GSTS,1014,68.68,G,S,ST,2025,3
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202026710,ME/M.Tech,Computer Networks and Information Security,GOPENS,5169,1.15,G,S,OPEN,2025,3
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",0211221210,ME/M.Tech,Structural Engineering,GOBCS,1223,66.2,G,S,OBC,2025,3
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",0211224210,ME/M.Tech,Computer Science and Engineering,GOPENS,3253,7.69,G,S,OPEN,2025,3
2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",0211397010,ME/M.Tech,Computer Science and Engineering (Data Science and Analytics),GOPENS,4569,3.67,G,S,OPEN,2025,3
2129,"M.S. Bidve Engineering College, Latur",0212924510,ME/M.Tech,Computer Engineering,GSCS,4779,2.92,G,S,SC,2025,3
2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",0213329410,ME/M.Tech,Control System Engineering,GOPENS,2196,11.0,G,S,OPEN,2025,3
2134,"Peoples Education Society's College of Engineering, Aurangabad",0213429210,ME/M.Tech,Electrical Power System,GOPENS,4746,3.0,G,S,OPEN,2025,3
2134,"Peoples Education Society's College of Engineering, Aurangabad",0213495410,ME/M.Tech,Computer Science and Engineering (Cyber Security),GOPENS,4778,2.92,G,S,OPEN,2025,3
